symbol,name,reportDate,fiscalDateEnding,estimate,currency
AGRO,Adecoagro S.A.,2023-08-10,2023-06-30,,USD
AGRPY,AGRPY,2023-08-14,2023-06-30,0,ZAR
AGRX,Agile Therapeutics Inc,2023-08-09,2023-06-30,-7,USD
AGS,PlayAGS Inc,2023-08-07,2023-06-30,0.02,USD
AGTI,Agiliti Inc,2023-08-07,2023-06-30,0.15,USD
AGX,Argan Inc,2023-09-06,2023-07-31,0.74,USD
AGYS,Agilysys Inc,2023-07-24,2023-06-30,0.14,USD
AHCHY,AHCHY,2023-08-24,2023-06-30,0.5468,CNY
AHCO,AdaptHealth Corp,2023-08-07,2023-06-30,0.1,USD
AHEXY,AHEXY,2023-08-03,2023-06-30,0.4444,EUR
AHFCF,AHFCF,2023-08-14,2023-06-30,,CAD
AHH,Armada Hoffler Properties Inc,2023-08-02,2023-06-30,0.09,USD
AHIX,AHIX,2023-08-24,2023-06-30,0,USD
AHKSY,AHKSY,2023-08-04,2023-06-30,0.3007,JPY
AHOTF,AHOTF,2023-08-07,2023-06-30,,USD
AHPI,AHPI,2023-08-30,2023-06-30,0,USD
AHT,Ashford Hospitality Trust Inc,2023-08-01,2023-06-30,-1.08,USD
AI,C3.ai Inc - Class A,2023-08-29,2023-07-31,-0.17,USD
AIAD,AIAD,2023-08-14,2023-06-30,,USD
AIAGY,AIAGY,2023-08-07,2023-06-30,0.8746,EUR
AIFLF,AIFLF,2023-08-08,2023-06-30,,USD
AIFLY,AIFLY,2023-08-11,2023-06-30,0,JPY
AIFS,AIFS,2023-08-15,2023-06-30,,USD
AIG,American International Group Inc,2023-08-07,2023-06-30,1.69,USD
AIH,Aesthetic Medical International Holdings Group Ltd,2023-08-14,2023-06-30,,CNY
AIHS,Senmiao Technology Ltd,2023-07-13,2023-06-30,,USD
AIIXY,AIIXY,2023-07-27,2023-06-30,0.1762,EUR
AIKI,AIKI,2023-08-10,2023-06-30,,USD
AILQF,AILQF,2023-07-12,2023-06-30,,USD
AIM,AIM ImmunoTech Inc,2023-08-14,2023-07-31,-0.11,USD
AIMC,AIMC,2023-07-26,2023-06-30,,USD
AIMD,Ainos Inc,2023-08-14,2023-06-30,0,USD
AIMFF,AIMFF,2023-08-10,2023-06-30,,CAD
AIN,Albany International Corp - Class A,2023-07-24,2023-06-30,0.9,USD
AINC,Ashford Inc,2023-08-02,2023-06-30,1.73,USD
AIP,Arteris Inc,2023-08-07,2023-06-30,-0.18,USD
AIQUY,AIQUY,2023-07-27,2023-06-30,0.6522,EUR
AIR,AAR Corp,2023-07-19,2023-05-31,0.78,USD
AIR,AAR Corp,2023-09-20,2023-08-31,0.6433,USD
AIRC,Apartment Income REIT Corp - Class A,2023-07-26,2023-06-30,0.01,USD
AIRG,Airgain Inc,2023-08-09,2023-06-30,-0.02,USD
AIRI,Air Industries Group,2023-08-07,2023-06-30,,USD
AIRS,Airsculpt Technologies Inc,2023-08-10,2023-06-30,0.05,USD
AIRT,Air T Inc,2023-06-26,2023-03-31,,USD
AIRT,Air T Inc,2023-08-11,2023-06-30,,USD
AIRYY,AIRYY,2023-08-31,2023-06-30,0.5227,CNY
AIT,Applied Industrial Technologies Inc,2023-08-09,2023-06-30,2.17,USD
AITX,AITX,2023-06-23,2023-05-31,,USD
AIU,Meta Data Ltd,2023-08-23,2023-05-31,,CNY
AIV,Apartment Investment & Management Co. - Class A,2023-08-02,2023-06-30,,USD
AIVN,AIVN,2023-08-09,2023-05-31,0,USD
AIZ,Assurant Inc,2023-07-31,2023-06-30,2.95,USD
AJG,Arthur J. Gallagher & Company,2023-07-26,2023-06-30,1.87,USD
AJINY,AJINY,2023-08-01,2023-06-30,0,USD
AJRD,Aerojet Rocketdyne Holdings Inc,2023-07-31,2023-06-30,0.48,USD
AJX,Great Ajax Corp,2023-08-02,2023-06-30,0.02,USD
AKA,a.k.a. Brands Holding Corp,2023-08-07,2023-06-30,-0.02,USD
AKAM,Akamai Technologies Inc,2023-08-07,2023-06-30,1.41,USD
AKBA,Akebia Therapeutics Inc,2023-08-02,2023-06-30,-0.02,USD
AKBTY,AKBTY,2023-07-26,2023-06-30,0.1835,TRY
AKLI,Akili Inc,2023-08-30,2023-06-30,-0.2026,USD
AKO-A,Embotelladora Andina S.A.,2023-08-01,2023-06-30,0.2269,CLP
AKO-B,Embotelladora Andina S.A.,2023-08-01,2023-06-30,0.2269,CLP
AKR,Acadia Realty Trust,2023-07-31,2023-06-30,-0.01,USD
AKRFF,AKRFF,2023-07-27,2023-06-30,,CAD
AKRO,Akero Therapeutics Inc,2023-08-02,2023-06-30,-0.63,USD
AKTAF,AKTAF,2023-07-31,2023-06-30,,CAD
AKTS,Akoustis Technologies Inc,2023-09-11,2023-06-30,-0.17,USD
AKTX,Akari Therapeutics Plc,2023-07-18,2023-06-30,-0.05,USD
AKYA,Akoya Biosciences Inc,2023-08-07,2023-06-30,-0.46,USD
AKZOY,AKZOY,2023-07-19,2023-06-30,0.4591,EUR
AL,Air Lease Corp - Class A,2023-08-02,2023-06-30,1.2,USD
ALB,Albemarle Corp,2023-08-01,2023-06-30,4.38,USD
ALBKY,ALBKY,2023-08-09,2023-06-30,0.0193,EUR
ALBO,ALBO,2023-08-14,2023-06-30,,USD
ALBT,Avalon GloboCare Corp,2023-08-03,2023-06-30,,USD
ALBY,ALBY,2023-07-21,2023-06-30,0,USD
ALC,Alcon Inc,2023-08-15,2023-06-30,0.6354,USD
ALCO,Alico Inc,2023-08-01,2023-06-30,0.08,USD
ALDX,Aldeyra Therapeutics Inc,2023-08-03,2023-06-30,-0.31,USD
ALE,Allete Inc,2023-08-01,2023-06-30,0.84,USD
ALEAF,ALEAF,2023-08-09,2023-06-30,,CAD
ALEC,Alector Inc,2023-08-02,2023-06-30,-0.82,USD
ALEX,Alexander & Baldwin Inc,2023-07-26,2023-06-30,0.12,USD
ALFVY,ALFVY,2023-07-20,2023-06-30,0.3525,SEK
ALG,Alamo Group Inc,2023-08-01,2023-06-30,3.01,USD
ALGM,Allegro Microsystems Inc,2023-07-26,2023-06-30,0.37,USD
ALGN,Align Technology Inc,2023-07-26,2023-06-30,2.03,USD
ALGS,Aligos Therapeutics Inc,2023-08-02,2023-06-30,-0.49,USD
ALGT,Allegiant Travel,2023-08-01,2023-06-30,3.28,USD
ALHC,Alignment Healthcare Inc,2023-08-02,2023-06-30,-0.21,USD
ALIF,ALIF,2023-08-16,2023-06-30,0,USD
ALIM,Alimera Sciences Inc,2023-07-25,2023-06-30,-0.13,USD
ALIT,Alight Inc - Class A,2023-08-10,2023-06-30,0.1219,USD
ALIZY,ALIZY,2023-08-10,2023-06-30,0.642,EUR
ALJJ,ALJJ,2023-08-09,2023-06-30,,USD
ALK,Alaska Air Group Inc,2023-07-19,2023-06-30,2.51,USD
ALKS,Alkermes plc,2023-07-27,2023-06-30,0.29,USD
ALKT,Alkami Technology Inc,2023-08-01,2023-06-30,-0.06,USD
ALL,Allstate Corp (The),2023-08-01,2023-06-30,-1.44,USD
ALLE,Allegion plc,2023-07-26,2023-06-30,1.74,USD
ALLG,Allego NV,2023-08-21,2023-06-30,-0.06,EUR
ALLK,Allakos Inc,2023-08-02,2023-06-30,-0.48,USD
ALLO,Allogene Therapeutics Inc,2023-08-07,2023-06-30,-0.59,USD
ALLT,Allot Ltd,2023-08-14,2023-06-30,-0.16,USD
ALLY,Ally Financial Inc,2023-07-19,2023-06-30,0.92,USD
ALMC,ALMC,2023-08-17,2023-06-30,0,USD
ALMTF,ALMTF,2023-08-10,2023-06-30,,CAD
ALNAQ,ALNAQ,2023-06-23,2023-03-31,,USD
ALNAQ,ALNAQ,2023-08-14,2023-06-30,,USD
ALNPY,ALNPY,2023-08-01,2023-06-30,0.0415,JPY
ALNY,Alnylam Pharmaceuticals Inc,2023-07-26,2023-06-30,-1.53,USD
ALOT,AstroNova Inc,2023-09-05,2023-07-31,0.05,USD
ALPMY,ALPMY,2023-07-28,2023-06-30,0.2291,JPY
ALPN,Alpine Immune Sciences Inc,2023-08-09,2023-06-30,-0.37,USD
ALPP,Alpine 4 Holdings Inc - Class A,2023-07-12,2023-06-30,0,USD
ALR,ALR,2023-08-01,2023-06-30,,USD
ALRM,Alarm.com Holdings Inc,2023-08-07,2023-06-30,0.36,USD
ALRN,Aileron Therapeutics Inc,2023-08-14,2023-06-30,-0.52,USD
ALRS,Alerus Financial Corp,2023-07-25,2023-06-30,0.36,USD
ALSMY,ALSMY,2023-07-25,2023-06-30,0,EUR
ALSN,Allison Transmission Holdings Inc,2023-08-01,2023-06-30,1.62,USD
ALT,Altimmune Inc,2023-08-09,2023-06-30,-0.46,USD
ALTG,Alta Equipment Group Inc - Class A,2023-08-07,2023-06-30,0.1,USD
ALTO,Alto Ingredients Inc,2023-08-07,2023-06-30,-0.05,USD
ALTR,Altair Engineering Inc - Class A,2023-08-02,2023-06-30,0.14,USD
ALV,Autoliv Inc,2023-07-21,2023-06-30,1.46,USD
ALVO,Alvotech,2023-08-16,2023-06-30,0,USD
ALVOF,ALVOF,2023-08-09,2023-06-30,,USD
ALVR,AlloVir Inc,2023-08-02,2023-06-30,-0.47,USD
ALX,Alexander`s Inc,2023-07-31,2023-06-30,,USD
ALXO,Alx Oncology Holdings Inc,2023-08-07,2023-06-30,-0.88,USD
ALXXF,ALXXF,2023-07-27,2023-06-30,,USD
ALYA,Alithya Group Inc - Class A - Class A (Sub Voting),2023-08-09,2023-06-30,-0.0009,CAD
ALZN,Alzamend Neuro Inc,2023-06-28,2023-04-30,-0.045,USD
ALZN,Alzamend Neuro Inc,2023-09-12,2023-07-31,-0.045,USD
AM,Antero Midstream Corp,2023-07-25,2023-06-30,0.2,USD
AMADY,AMADY,2023-07-28,2023-06-30,0.7018,EUR
AMAL,Amalgamated Financial Corp,2023-07-26,2023-06-30,0.74,USD
AMAT,Applied Materials Inc,2023-08-17,2023-07-31,1.74,USD
AMBA,Ambarella Inc,2023-08-28,2023-07-31,-0.21,USD
AMBC,AMBAC Financial Group Inc,2023-08-07,2023-06-30,-0.16,USD
AMBK,AMBK,2023-07-18,2023-06-30,0,USD
AMBP,Ardagh Metal Packaging S.A.,2023-07-27,2023-06-30,0.06,USD
AMBS,AMBS,2023-08-14,2023-06-30,0,USD
AMBZ,AMBZ,2023-07-26,2023-06-30,,USD
AMC,AMC Entertainment Holdings Inc - Class A,2023-08-02,2023-06-30,-0.04,USD
AMCF,AMCF,2023-08-17,2023-06-30,0,USD
AMCR,Amcor Plc,2023-08-15,2023-06-30,0.18,USD
AMCX,AMC Networks Inc - Class A,2023-08-03,2023-06-30,1.63,USD
AMD,Advanced Micro Devices Inc,2023-07-31,2023-06-30,0.57,USD
AME,Ametek Inc,2023-07-31,2023-06-30,1.51,USD
AMED,Amedisys Inc,2023-07-25,2023-06-30,1.1,USD
AMEH,Apollo Medical Holdings Inc,2023-08-02,2023-06-30,0.25,USD
AMEN,AMEN,2023-09-13,2023-06-30,,USD
AMG,Affiliated Managers Group Inc,2023-07-31,2023-06-30,4.2,USD
AMGN,AMGEN Inc,2023-08-02,2023-06-30,4.48,USD
AMH,American Homes 4 Rent - Class A,2023-08-02,2023-06-30,0.1,USD
AMHG,AMHG,2023-08-14,2023-06-30,,USD
AMIGY,AMIGY,2023-08-16,2023-06-30,0,GBP
AMIVF,AMIVF,2023-08-08,2023-06-30,,CAD
AMK,Assetmark Financial Holdings Inc,2023-08-01,2023-06-30,0.58,USD
AMKBY,AMKBY,2023-08-04,2023-06-30,0.2303,USD
AMKR,AMKOR Technology Inc,2023-07-31,2023-06-30,0.21,USD
AMLI,American Lithium Corp,2023-07-31,2023-05-31,,CAD
AMLX,Amylyx Pharmaceuticals Inc,2023-08-10,2023-06-30,0.0592,USD
AMN,AMN Healthcare Services Inc,2023-08-02,2023-06-30,2.13,USD
AMNB,American National Bankshares Inc,2023-07-19,2023-06-30,0.71,USD
AMNF,AMNF,2023-07-17,2023-06-30,,USD
AMNI,AMNI,2023-08-16,2023-06-30,0,USD
AMNL,AMNL,2023-08-30,2023-06-30,0,USD
AMOT,Allied Motion Technologies Inc,2023-08-01,2023-06-30,0.56,USD
AMP,Ameriprise Financial Inc,2023-07-24,2023-06-30,7.47,USD
AMPE,Ampio Pharmaceuticals Inc,2023-08-07,2023-06-30,,USD
AMPED,AMPED,2023-08-07,2023-06-30,,USD
AMPG,Amplitech Group Inc,2023-08-14,2023-06-30,-0.06,USD
